Tranzakció dátuma;Könyvelés dátuma;Típus;Bejövő/Kimenő;Partner neve;Partner számlaszáma/azonosítója;Költési kategória;Közlemény;Számla név;Számla szám;Összeg;Pénznem
2023-05-02 17:40:36;2023-05-02;Card Purchase;Expense;Fast Food Chain A;;Food & Drink;2023-05-02 CARD-1234 Fast Food Chain A           Contactless;Primary Account;1111222233334444;-740,0;HUF
2023-05-02 19:20:00;2023-05-02;Transaction Fee;Expense;Transaction Fee;;Bills & Utilities;2023-05-02 CARD-1234 Online Banking ACC-9999;Primary Account;1111222233334444;-243,0;HUF
2023-05-02 21:39:49;2023-05-02;Card Purchase;Expense;Fast Food Chain A;;Food & Drink;2023-05-02 CARD-1234 Fast Food Chain A          Contactless;Primary Account;1111222233334444;-1 500,0;HUF
2023-05-05 17:27:22;2023-05-05;Card Purchase;Expense;Fresh Market;;Groceries;2023-05-05 CARD-1234 Fresh Market         Contactless;Primary Account;1111222233334444;-430,0;HUF
2023-05-10 17:35:23;2023-05-10;Card-to-Card Transfer;Expense;Main Bank;;Not categorized;2023-05-10 CARD-1234 Online Banking ACC-8888;Primary Account;1111222233334444;-2 700,0;HUF
2023-05-20 23:17:00;2023-05-20;Transaction Fee;Expense;Transaction Fee;;Bills & Utilities;2023-05-20 CARD-1234 Online Banking ACC-8888;Primary Account;1111222233334444;-243,0;HUF
2023-06-09 20:28:38;2023-06-09;Card Purchase;Expense;Corner Coffee Shop;;Food & Drink;2023-06-09 CARD-1234 Corner Coffee Shop               Contactless;Primary Account;1111222233334444;-1 800,0;HUF
2023-06-13 20:55:18;2023-06-13;Card Purchase;Expense;City Bar;;Food & Drink;2023-06-13 CARD-1234 City Bar                 Contactless;Primary Account;1111222233334444;-1 000,0;HUF
2023-06-24 21:08:19;2023-06-24;Card Purchase;Expense;City Bar;;Food & Drink;2023-06-24 CARD-1234 City Bar                 Contactless;Primary Account;1111222233334444;-250,0;HUF
2023-07-13 21:54:47;2023-07-13;Card Purchase;Expense;Bistro 42;;Food & Drink;2023-07-13 CARD-1234 Bistro 42                Contactless;Primary Account;1111222233334444;-2 250,0;HUF
2023-07-26 22:23:04;2023-07-26;Card Purchase;Expense;Tobacco Shop;;Other;2023-07-26 CARD-1234 Tobacco Shop            Contactless;Primary Account;1111222233334444;-189,0;HUF
2023-05-12 00:09:26;2023-05-12;Card Purchase;Expense;Convenience Store;;Other;2023-05-12 CARD-1234 Convenience Store       Contactless;Primary Account;1111222233334444;-7 463,0;HUF
2023-08-12 14:27:57;2023-08-12;Card Purchase;Expense;Apparel Store;;Clothing;2023-08-12 CARD-1234 Apparel Store               Contactless;Primary Account;1111222233334444;-2 495,0;HUF
2023-08-12 14:44:17;2023-08-12;Card Purchase;Expense;Convenience Store;;Other;2023-08-12 CARD-1234 Convenience Store       Contactless;Primary Account;1111222233334444;-370,0;HUF
2023-08-18 20:22:40;2023-08-18;Card Purchase;Expense;Local Pub;;Food & Drink;2023-08-18 CARD-1234 Local Pub            Contactless;Primary Account;1111222233334444;-620,0;HUF
2023-10-05 21:15:26;2023-10-05;Card Purchase;Expense;Local Pub;;Food & Drink;2023-10-05 CARD-1234 Local Pub            Contactless;Primary Account;1111222233334444;-620,0;HUF
2023-10-15 22:29:28;2023-10-15;Card Purchase;Expense;Local Pub;;Food & Drink;2023-10-15 CARD-1234 Local Pub            Contactless;Primary Account;1111222233334444;-310,0;HUF
2023-10-15 22:51:13;2023-10-15;Card Purchase;Expense;Local Pub;;Food & Drink;2023-10-15 CARD-1234 Local Pub            Contactless;Primary Account;1111222233334444;-690,0;HUF
2023-06-06 19:09:36;2023-06-06;Wire Transfer;Income;Jane Doe;153106720114239210017805;Not categorized;-  -  -;Primary Account;1111222233334444;2 500,0;HUF
2023-10-20 07:41:59;2023-10-20;Wire Transfer;Income;Jane Doe;153106720114239210017805;Not categorized;-  -  -;Primary Account;1111222233334444;2 000,0;HUF
2023-11-09 07:45:30;2023-11-09;Card Purchase;Expense;Convenience Store;;Other;2023-11-09 CARD-1234 Convenience Store       Contactless;Primary Account;1111222233334444;-1 840,0;HUF
2023-12-05 14:50:18;2023-12-05;Card Purchase;Expense;Convenience Store;;Other;2023-12-05 CARD-1234 Convenience Store       Contactless;Primary Account;1111222233334444;-100,0;HUF
2023-12-06 16:19:11;2023-12-06;Card Purchase;Expense;Supermarket A;;Groceries;2023-12-06 CARD-1234 Supermarket A                Contactless;Primary Account;1111222233334444;-1 166,0;HUF
2023-12-13 21:09:20;2023-12-13;Card Purchase;Expense;Digital Subscription;;Entertainment;2023-12-13 CARD-1234 Digital Subscription 5,360EUR    0,;Primary Account;1111222233334444;-1 899,0;HUF
2023-12-13 17:02:52;2023-12-13;Card Purchase;Expense;Streaming Service A;;Entertainment;2023-12-13 CARD-1234 Streaming Service A*2L2I88504 2,540EUR    0,;Primary Account;1111222233334444;-899,0;HUF
2024-01-17 14:48:04;2024-01-17;Card Purchase;Expense;Convenience Store;;Other;2024-01-17 CARD-1234 Convenience Store       Contactless;Primary Account;1111222233334444;-350,0;HUF
2024-01-18 18:38:05;2024-01-18;Card Purchase;Expense;Convenience Store;;Other;2024-01-18 CARD-1234 Convenience Store       Contactless;Primary Account;1111222233334444;-2 090,0;HUF
2024-01-23 20:44:01;2024-01-23;Card Purchase;Expense;Local Pub;;Food & Drink;2024-01-23 CARD-1234 Local Pub            Contactless;Primary Account;1111222233334444;-620,0;HUF
2024-02-18 22:21:50;2024-02-18;Card Purchase;Expense;Local Pub;;Food & Drink;2024-02-18 CARD-1234 Local Pub            Contactless;Primary Account;1111222233334444;-310,0;HUF
2024-02-15 08:32:34;2024-02-15;Card Purchase;Expense;Convenience Store;;Other;2024-02-15 CARD-1234 Convenience Store       Contactless;Primary Account;1111222233334444;-987,0;HUF
2024-02-27 11:06:20;2024-02-27;Card Purchase;Expense;Convenience Store;;Other;2024-02-27 CARD-1234 Convenience Store       Contactless;Primary Account;1111222233334444;-200,0;HUF
2024-03-21 16:17:02;2024-03-21;Card Purchase;Expense;Corner Grocery Store;;Groceries;2024-03-21 CARD-1234 Corner Grocery Store          Contactless;Primary Account;1111222233334444;-420,0;HUF
2024-03-22 17:53:30;2024-03-22;Card Purchase;Expense;Event Ticket;;Other;2024-03-22 Event Ticket Contactless;Primary Account;1111222233334444;-1 100,0;HUF
2024-03-23 13:57:57;2024-03-23;ATM Withdrawal;Expense;Main Bank;;Cash Withdrawal;2024-03-23 CARD-1234 Terminal Loc C;Primary Account;1111222233334444;-5 000,0;HUF
2024-04-06 08:10:38;2024-04-06;Card Purchase;Expense;Supermarket A;;Groceries;2021-04-06 CARD-1234 Supermarket A                Contactless;Primary Account;1111222233334444;-1 665,0;HUF
2024-04-06 15:03:20;2024-04-06;Card Purchase;Exoense;Supermarket A;;Groceries;2021-04-06 CARD-1234 Supermarket A                Contactless;Primary Account;1111222233334444;-2 700,0;HUF
